date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:37:39	10250/10250	---M--	200	added ('OK')	text/plain	etag:%2294d3c85-280a-5c70dccefb4f2%22	http://skillbits.in/robots.txt		(from )
03:37:39	38735/38735	---M-Z	200	added ('OK')	text/html	etag:%2294c082d-95a3-5adb86e3526c2-gzip%22	http://skillbits.in/	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/index.html	(from )
03:37:39	140930/140930	---M--	200	added ('OK')	text/css	etag:%2294c083c-22682-59b3ffe585500%22	http://skillbits.in/plugins/bootstrap/bootstrap.min.css	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/bootstrap/bootstrap.min.css	(from http://skillbits.in/)
03:37:41	1776/1776	---M--	200	added ('OK')	text/css	etag:%2294c085d-6f0-59b3ffe585500%22	http://skillbits.in/plugins/slick/slick.css	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/slick/slick.css	(from http://skillbits.in/)
03:37:42	17155/17155	---M--	200	added ('OK')	text/css	etag:%2294c0865-4303-59b3ffe585500%22	http://skillbits.in/plugins/themify-icons/themify-icons.css	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/themify-icons/themify-icons.css	(from http://skillbits.in/)
03:37:42	77749/77749	---M--	200	added ('OK')	text/css	etag:%2294c0835-12fb5-59b3ffe585500%22	http://skillbits.in/plugins/animate/animate.css	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/animate/animate.css	(from http://skillbits.in/)
03:37:43	101088/101088	---M--	200	added ('OK')	text/css	etag:%2294c0838-18ae0-59b3ffe585500%22	http://skillbits.in/plugins/aos/aos.css	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/aos/aos.css	(from http://skillbits.in/)
03:37:45	19880/19880	---M--	200	added ('OK')	text/css	etag:%2294c0868-4da8-59b3ffe585500%22	http://skillbits.in/plugins/venobox/venobox.css	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/venobox/venobox.css	(from http://skillbits.in/)
03:37:46	15771/15771	---M--	200	added ('OK')	text/css	etag:%2294c0745-3d9b-59b3ffe39d080%22	http://skillbits.in/css/style.css	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/css/style.css	(from http://skillbits.in/)
03:37:46	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2009%20Aug%202021%2022:07:49%20GMT	http://skillbits.in/images/favicon.ico	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/favicon.ico	(from http://skillbits.in/)
